"ID","Const"
"0","cSaldo_insoluto_capital"
"1","cSaldo_insoluto_capital_IF"
"2","cSaldo_insoluto_capital_IM"
"3","cSaldo_insoluto_documento"
"4","cCapital_inicial"
"5","cCapital_IF"
